Datum;Kostal
2023-06-01;19,92
2023-06-02;19,91
2023-06-03;21,39
2023-06-04;21,21
2023-06-05;21,26
2023-06-06;22,77
2023-06-07;20,65
2023-06-08;20,85
2023-06-09;20,15
2023-06-10;20,23
2023-06-11;24,05
2023-06-12;24,23
2023-06-13;20,24
2023-06-14;20,93
2023-06-15;25,07
2023-06-16;21,17
2023-06-17;22,55
2023-06-18;21,07
2023-06-19;19,36
2023-06-20;21,19
2023-06-21;18,16
2023-06-22;20,22
2023-06-23;15,99
2023-06-24;14,6
2023-06-25;23,48
2023-06-26;19,92
2023-06-27;21,61
2023-06-28;18,29
2023-06-29;18,63
2023-06-30;18,84
