Monat;Kostal
2023-04-30 00:00:00;373,148
2023-05-31 00:00:00;481,2
2023-06-30 00:00:00;617,94
2023-07-31 00:00:00;492,04
2023-08-31 00:00:00;426,13
2023-09-30 00:00:00;435,95
2023-10-31 00:00:00;108,998
2023-11-30 00:00:00;0,792
2023-12-31 00:00:00;0,73
2024-01-31 00:00:00;0,74
2024-02-29 00:00:00;0,713
2024-03-31 00:00:00;0,967
2024-04-30 00:00:00;0,418
2024-05-31 00:00:00;522,27
2024-06-30 00:00:00;548,82
2024-07-31 00:00:00;552,92
2024-08-31 00:00:00;491,65
2024-09-30 00:00:00;338,75
2024-10-31 00:00:00;191,72
2024-11-30 00:00:00;127,452
2024-12-31 00:00:00;90,45
2025-01-31 00:00:00;131,8
2025-02-28 00:00:00;139,381
2025-03-31 00:00:00;344,77
2025-04-30 00:00:00;509,29
2025-05-31 00:00:00;520,04
2025-06-30 00:00:00;594,32
2025-07-31 00:00:00;504,44
2025-08-31 00:00:00;481,92
2025-09-30 00:00:00;330,87
2025-10-31 00:00:00;204,065
2025-11-30 00:00:00;124,3
2025-12-31 00:00:00;70,91
2026-01-31 00:00:00;87,453
2026-02-28 00:00:00;152,718
2026-03-31 00:00:00;340,22
2026-04-30 00:00:00;292,08
