Monat;Gesamt kWh
2013-08;430,848
2013-09;316,553
2013-10;236,322
2013-11;124,721
2013-12;120,402
2014-01;121,847
2014-02;218,24
2014-03;419,885
2014-04;514,229
2014-05;588,139
2014-06;747,182
2014-07;539,081
2014-08;484,542
2014-09;404,205
2014-10;280,297
2014-11;127,057
2014-12;60,054
2015-01;96,623
2015-02;101,591
2015-03;357,776
2015-04;501,765
2015-05;519,624
2015-06;602,846
2015-07;601,759
2015-08;557,342
2015-09;361,005
2015-10;237,495
2015-11;142,289
2015-12;99,693
2016-01;80,129
2016-02;168,423
2016-03;338,426
2016-04;418,596
2016-05;491,211
2016-06;515,024
2016-07;584,054
2016-08;480,836
2016-09;389,21
2016-10;224,664
2016-11;111,882
2016-12;101,315
2017-01;15,133
2017-02;166,98
2017-03;359,349
2017-04;433,362
2017-05;567,499
2017-06;594,552
2017-07;517,379
2017-08;500,621
2017-09;326,83
2017-10;262,317
2017-11;110,988
2017-12;76,492
2018-01;124,996
2018-02;140,961
2018-03;285,232
2018-04;477,167
2018-05;551,042
2018-06;626,343
2018-07;567,709
2018-08;495,376
2018-09;412,769
2018-10;257,988
2018-11;129,125
2018-12;82,668
2019-01;92,702
2019-02;200,853
2019-03;340,414
2019-04;407,419
2019-05;467,073
2019-06;604,669
2019-07;574,445
2019-08;466,225
2019-09;355,706
2019-10;210,792
2019-11;98,094
2019-12;86,865
2020-01;122,143
2020-02;194,439
2020-03;326,084
2020-04;522,184
2020-05;531,283
2020-06;475,05
2020-07;570,929
2020-08;432,435
2020-09;365,691
2020-10;206,718
2020-11;122,223
2020-12;68,811
2021-01;73,807
2021-02;173,942
2021-03;351,097
2021-04;501,119
2021-05;440,932
2021-06;599,084
2021-07;464,828
2021-08;415,586
2021-09;412,577
2021-10;288,963
2021-11;97,965
2021-12;80,309
2022-01;139,954
2022-02;219,526
2022-03;384,544
2022-04;420,682
2022-05;543,763
2022-06;546,983
2022-07;589,903
2022-08;475,096
2022-09;319,565
2022-10;226,598
2022-11;119,554
2022-12;50,353
2023-01;94,924
2023-02;171,274
2023-03;153,199
2023-04;394,581
2023-05;486,734
2023-06;603,787
2023-07;505,813
2023-08;420,121
2023-09;439,388
2023-10;95,951
2023-11;0,93
2023-12;0,751
2024-01;0,96
2024-02;0,771
2024-03;0,777
2024-04;0,48
2024-05;460,798
2024-06;436,513
2024-07;555,232
2024-08;509,84
2024-09;349,755
2024-10;191,101
2024-11;126,719
2024-12;91,465
2025-01;132,493
2025-02;144,745
2025-03;347,522
2025-04;523,628
2025-05;522,82
2025-06;597,222
2025-07;495,394
2025-08;492,042
2025-09;318,266
2025-10;201,866
2025-11;126,805
2025-12;75,494
2026-01;93,373
2026-02;163,619
2026-03;340,087
2026-04;485,771
2026-05;20,936
